
🎬电影频道,#genre#

邵氏影院,http://maomao.kandiantv.cn/douyu1.php?id=4246519
邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519
邵氏影院,http://lxajh.top/tv/douyu.php?id=4246519
邵氏影院,http://mitv.ts138.top/douyu/4246519
邵氏影院,http://159.75.85.63:35455/douyu/4246519

CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0?$超清
CCTV6,http://1.24.190.98:10089/hls/6/index.m3u8
CCTV6,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV6,https://epg.pw/stream/c2a78d34141bd7ad12b19b2ab7f3f60f2b8a4c3bdd5c573889aad5bc3b331fe1.m3u8
CCTV6,http://112.123.206.32:808/hls/7/index.m3u8
CCTV6,https://epg.pw/stream/c2a78d34141bd7ad12b19b2ab7f3f60f2b8a4c3bdd5c573889aad5bc3b331fe1.m3u8

影迷电影,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0650&tk=e347d250ab70
影迷电影,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0651&tk=e347d250ab70
影迷电影,http://119.135.1.16:6699/live/1066/index.m3u8

动作电影,http://p.ytelc.com/169l/0/aikan.php?id=chcdz

家庭影院,http://p.ytelc.com/169l/0/aikan.php?id=chcjt
爆谷台,http://223.244.26.190:8082/now包谷.盗源者死全家/易發TV/hls.m3u8
爆谷台,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
靖天电影,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
靖天电影,http://litv.zapi.us.kg/?id=4gtv-4gtv061
龍華電影,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8

PopC电影,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
1905电影,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0655&tk=e347d250ab70
1905电影,http://xxw.me0.cn/1905dy.php?id=1905a

1905电影国外,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0654&tk=e347d250ab70
1905电影国外,http://xxw.me0.cn/1905dy.php?id=1905b

动作电影2,http://cfss.cc/cdn/hy/11602077.flv

🐠豆瓣高分,http://maomao.kandiantv.cn/douyu1.php?id=8770422
🐠豆瓣高分,http://huanqiuzhibo.cn/manifest/douyu.php?id=8770422
🐠豆瓣高分,http://mitv.ts138.top/douyu/8770422

🐠译制国语,http://maomao.kandiantv.cn/douyu1.php?id=2436390
🐠译制国语,http://huanqiuzhibo.cn/manifest/douyu.php?id=2436390
🐠译制国语,http://mitv.ts138.top/douyu/2436390


🐠漫威剧情,http://maomao.kandiantv.cn/douyu1.php?id=6140589
🐠漫威剧情,http://huanqiuzhibo.cn/manifest/douyu.php?id=6140589
🐠漫威剧情,http://mitv.ts138.top/douyu/6140589

🐠霍格沃茨,http://maomao.kandiantv.cn/douyu1.php?id=8814650
🐠霍格沃茨,http://huanqiuzhibo.cn/manifest/douyu.php?id=8814650
🐠霍格沃茨,http://mitv.ts138.top/douyu/8814650

🐠变种人片,http://maomao.kandiantv.cn/douyu1.php?id=9651304
🐠变种人片,http://huanqiuzhibo.cn/manifest/douyu.php?id=9651304
🐠变种人片,http://159.75.85.63:35455/douyu/9651304
🐠变种人片,http://zzy789.xyz/douyu1.php?id=9651304
🐠变种人片,http://mitv.ts138.top/douyu/9651304


🐠鱼宝恐怖,http://maomao.kandiantv.cn/douyu1.php?id=1165374
🐠鱼宝恐怖,http://huanqiuzhibo.cn/manifest/douyu.php?id=1165374
🐠鱼宝恐怖,http://159.75.85.63:35455/douyu/1165374
🐠鱼宝恐怖,http://zzy789.xyz/douyu1.php?id=1165374
🐠鱼宝恐怖,http://mitv.ts138.top/douyu/1165374

🐠狄仁杰剧场,http://maomao.kandiantv.cn/douyu1.php?id=6027991
🐠狄仁杰剧场,http://huanqiuzhibo.cn/manifest/douyu.php?id=6027991
🐠狄仁杰剧场,http://zzy789.xyz/douyu1.php?id=6027991

🐠连续剧场,http://maomao.kandiantv.cn/douyu1.php?id=5062195
🐠连续剧场,http://huanqiuzhibo.cn/manifest/douyu.php?id=5062195
🐠连续剧场,http://zzy789.xyz/douyu1.php?id=5062195


🐠倍速播放,http://maomao.kandiantv.cn/douyu1.php?id=4105989
🐠倍速播放,http://huanqiuzhibo.cn/manifest/douyu.php?id=4105989
🐠倍速播放,http://zzy789.xyz/douyu1.php?id=4105989



🐠屠龙影视,http://maomao.kandiantv.cn/douyu1.php?id=8945323
🐠屠龙影视,http://huanqiuzhibo.cn/manifest/douyu.php?id=8945323
🐠屠龙影视,http://zzy789.xyz/douyu1.php?id=8945323

🐠连续剧轮播,http://maomao.kandiantv.cn/douyu1.php?id=2838296
🐠连续剧轮播,http://huanqiuzhibo.cn/manifest/douyu.php?id=2838296
🐠连续剧轮播,http://zzy789.xyz/douyu1.php?id=2838296
🐠连续剧轮播,http://mitv.ts138.top/douyu/2838296


🌱电影①,http://159.75.85.63:35455/yy/1382749892
🌱电影②,http://159.75.85.63:35455/yy/1382735573
🌱电影③,http://159.75.85.63:35455/yy/24921161
🌱电影④,http://159.75.85.63:35455/yy/1382736803
🌱电影⑤,http://159.75.85.63:35455/yy/1354930924
🌱电影⑥,http://159.75.85.63:35455/yy/1382745095
🌱电影⑦,http://159.75.85.63:35455/yy/1355171357
🌱歐美电影,http://159.75.85.63:35455/yy/24923327
🌱经典电影,http://159.75.85.63:35455/yy/1382745089
🌱李连杰,http://159.75.85.63:35455/yy/1459869766
绝版电影,http://159.75.85.63:35455/yy/1455988450
超级鬼片,http://159.75.85.63:35455/yy/1355641195
恐怖电影,http://159.75.85.63:35455/yy/24066336

🌱电影①,http://mitv.ts138.top/yy/1382749892
🌱电影②,http://mitv.ts138.top/yy/1382735573
🌱电影③,http://mitv.ts138.top/yy/24921161
🌱电影④,http://mitv.ts138.top/yy/1382736803
🌱电影⑤,http://mitv.ts138.top/yy/1354930924
🌱电影⑥,http://mitv.ts138.top/yy/1382745095
🌱电影⑦,http://mitv.ts138.top/yy/1355171357
🌱歐美电影,http://mitv.ts138.top/yy/24923327
🌱歐美動作片,http://mitv.ts138.top/yy/1382745089
🌱李连杰,http://mitv.ts138.top/yy/1459869766
绝版电影,http://mitv.ts138.top/yy/1455988450
超级鬼片,http://mitv.ts138.top/yy/1355641195
恐怖电影,http://mitv.ts138.top/yy/24066336

🌱电影①,https://lunbo.freetv.top/yy/1382749892
🌱电影②,https://lunbo.freetv.top/yy/1382735573
🌱电影③,https://lunbo.freetv.top/yy/24921161
🌱电影④,https://lunbo.freetv.top/yy/1382736803
🌱电影⑤,https://lunbo.freetv.top/yy/1354930924
🌱电影⑥,https://lunbo.freetv.top/yy/1382745095
🌱电影⑦,https://lunbo.freetv.top/yy/1355171357
🌱歐美电影,https://lunbo.freetv.top/yy/24923327
🌱歐美動作片,https://lunbo.freetv.top/yy/1382745089
🌱李连杰,https://lunbo.freetv.top/yy/1459869766
绝版电影,https://lunbo.freetv.top/yy/1455988450
超级鬼片,https://lunbo.freetv.top/yy/1355641195
恐怖电影,https://lunbo.freetv.top/yy/24066336



小猪优版,https://www.goodiptv.club/douyu/10297898
绍兴影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
万州文艺,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
万州文艺,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8



🌏央视频道,#genre#


CCTV1,http://p.ytelc.com/169l/0/aikan.php?id=cctv1
CCTV2,http://p.ytelc.com/169l/0/aikan.php?id=cctv2
CCTV3,http://p.ytelc.com/169l/0/aikan.php?id=cctv3
CCTV4,http://p.ytelc.com/169l/0/aikan.php?id=cctv4
CCTV5,http://p.ytelc.com/169l/0/aikan.php?id=cctv5
CCTV6,http://p.ytelc.com/169l/0/aikan.php?id=cctv6
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV7,http://p.ytelc.com/169l/0/aikan.php?id=cctv7
CCTV8,http://p.ytelc.com/169l/0/aikan.php?id=cctv8
CCTV9,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0018&tk=e347d250ab70
CCTV9,http://p.ytelc.com/169l/0/aikan.php?id=cctv9
CCTV10,http://p.ytelc.com/169l/0/aikan.php?id=cctv10
CCTV11,http://p.ytelc.com/169l/0/aikan.php?id=cctv11
CCTV12,http://ycsj.aguihome.com:4022/rtp/233.50.201.123:5140
CCTV12,http://p.ytelc.com/169l/0/aikan.php?id=cctv12
CCTV13,http://p.ytelc.com/169l/0/aikan.php?id=cctv13
CCTV14,http://p.ytelc.com/169l/0/aikan.php?id=cctv14
CCTV15,http://p.ytelc.com/169l/0/aikan.php?id=cctv15
CCTV16,http://yuntv.chinayungu.cn:8005/live/cctv16hd5hxc/index.m3u8
CCTV17,http://p.ytelc.com/169l/0/aikan.php?id=cctv17


CCTV1,http://kxrj.site:998/123/mg.php?id=cctv1
CCTV2,http://kxrj.site:998/123/mg.php?id=cctv2
CCTV3,http://kxrj.site:998/123/mg.php?id=cctv3
CCTV4,http://kxrj.site:998/123/mg.php?id=cctv4
CCTV5,http://kxrj.site:998/123/mg.php?id=cctv5
CCTV6,http://kxrj.site:998/123/mg.php?id=cctv6
CCTV7,http://kxrj.site:998/123/mg.php?id=cctv7
CCTV8,http://kxrj.site:998/123/mg.php?id=cctv8
CCTV10,http://kxrj.site:998/123/mg.php?id=cctv10
CCTV12,http://kxrj.site:998/123/mg.php?id=cctv12
CCTV13,http://kxrj.site:998/123/mg.php?id=cctv13
CCTV14,http://kxrj.site:998/123/mg.php?id=cctv14
CCTV15,http://kxrj.site:998/123/mg.php?id=cctv15
CCTV17,http://kxrj.site:998/123/mg.php?id=cctv17
CCTV5+,http://kxrj.site:998/123/mg.php?id=cctv5p


CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0007&tk=e347d250ab70
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0008&tk=e347d250ab70
CCTV3,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0009&tk=e347d250ab70
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0010&tk=e347d250ab70
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0011&tk=e347d250ab70
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0012&tk=e347d250ab70
CCTV5,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0013&tk=e347d250ab70
CCTV5+,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0014&tk=e347d250ab70
CCTV6,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0015&tk=e347d250ab70
CCTV7,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0016&tk=e347d250ab70
CCTV8,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0017&tk=e347d250ab70
CCTV9,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0018&tk=e347d250ab70
CCTV10,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0019&tk=e347d250ab70
CCTV11,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0020&tk=e347d250ab70
CCTV12,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0021&tk=e347d250ab70
CCTV13,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0022&tk=e347d250ab70
CCTV14,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0023&tk=e347d250ab70
CCTV15,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0024&tk=e347d250ab70
CCTV17,http://kkk.jjjj.jiduo.me/api.php?n=ttt&id=0025&tk=e347d250ab70




CCTV1,http://112.123.206.32:808/hls/1/index.m3u8?$超清
CCTV1,http://www.furymax.top:85/rtp/239.254.96.96:8550?$超清
CCTV1,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8?$超清2
CCTV1,http://nas.tuyuannet.cn:8800/rtp/239.37.0.140:5540?$高清5
CCTV1,http://a.liuxiaobo.top:8888/udp/239.254.100.96:8550

CCTV2,http://112.123.206.32:808/hls/2/index.m3u8?$超清
CCTV2,http://ycsj.aguihome.com:4022/rtp/233.50.201.119:5140?$超清
CCTV2,http://yuntv.chinayungu.cn:8005/live/cctv2sd5hxc/index.m3u8?$高清5
